time,body,x,y,z,vx,vy,vz
91,2,-1.716672,-0.037346,0.000000,-1.203616,-1.035117,0.000000
91,3,0.890676,-1.467959,0.000000,1.498265,-0.524761,0.000000
92,1,0.823041,1.520887,0.000000,-0.295592,1.558161,0.000000
92,2,-1.728689,-0.047697,0.000000,-1.201658,-1.035075,0.000000
92,3,0.905648,-1.473190,0.000000,1.497250,-0.523087,0.000000
93,1,0.820076,1.536452,0.000000,-0.296511,1.556464,0.000000
93,2,-1.740686,-0.058047,0.000000,-1.199728,-1.035022,0.000000
93,3,0.920610,-1.478405,0.000000,1.496239,-0.521442,0.000000
94,1,0.817102,1.552000,0.000000,-0.297407,1.554784,0.000000
94,2,-1.752664,-0.068397,0.000000,-1.197826,-1.034958,0.000000
94,3,0.935563,-1.483603,0.000000,1.495232,-0.519826,0.000000
95,1,0.814119,1.567531,0.000000,-0.298281,1.553124,0.000000
95,2,-1.764624,-0.078746,0.000000,-1.195950,-1.034885,0.000000
95,3,0.950505,-1.488785,0.000000,1.494231,-0.518239,0.000000
96,1,0.811128,1.583046,0.000000,-0.299134,1.551481,0.000000
96,2,-1.776565,-0.089094,0.000000,-1.194102,-1.034802,0.000000
96,3,0.965437,-1.493952,0.000000,1.493236,-0.516679,0.000000
97,1,0.808128,1.598544,0.000000,-0.299966,1.549857,0.000000
97,2,-1.788488,-0.099441,0.000000,-1.192279,-1.034711,0.000000
97,3,0.980360,-1.499104,0.000000,1.492245,-0.515146,0.000000
98,1,0.805120,1.614027,0.000000,-0.300778,1.548252,0.000000
98,2,-1.800393,-0.109787,0.000000,-1.190483,-1.034611,0.000000
98,3,0.995273,-1.504240,0.000000,1.491260,-0.513640,0.000000
99,1,0.802104,1.629494,0.000000,-0.301570,1.546663,0.000000
99,2,-1.812280,-0.120132,0.000000,-1.188711,-1.034503,0.000000
99,3,1.010175,-1.509362,0.000000,1.490281,-0.512160,0.000000
100,1,0.799081,1.644945,0.000000,-0.302343,1.545093,0.000000
100,2,-1.824149,-0.130476,0.000000,-1.186965,-1.034387,0.000000
100,3,1.025068,-1.514469,0.000000,1.489308,-0.510706,0.000000
